30	17	35	42
6	14	19	27
4	27	42	20
17	8	5	25
29	12	32	10
47	35	38	41
4	18	30	50
16	36	41	15
40	42	23	6
38	4	26	39
22	11	4	25
22	41	7	41
33	33	32	7
48	26	9	19
37	35	22	1
14	43	15	40
6	20	40	39
28	39	12	24
2	5	50	9
36	4	37	36
39	48	14	3
13	9	45	23
49	30	23	45
41	24	20	48
6	46	9	36
9	48	39	40
8	39	24	41
31	21	12	13
34	5	46	49
33	19	17	27
6	11	8	28
16	27	9	3
29	25	44	32
50	31	34	17
12	49	7	1
2	36	31	36
47	6	34	41
34	23	22	2
1	23	47	3
26	11	41	18
17	9	47	6
3	23	5	5
41	18	29	48
20	9	19	48
48	22	47	36
8	3	1	48
45	36	48	48
44	15	36	11
27	25	4	34
14	31	38	29
27	28	1	7
3	19	10	50
41	4	11	47
43	11	7	42
18	38	10	8
18	33	5	12
8	37	23	18
41	12	25	29
5	13	42	50
24	42	17	16
16	32	29	23
42	41	45	9
24	22	37	45
18	12	30	40
22	2	4	8
27	35	33	47
33	17	14	29
1	1	15	28
18	2	20	49
34	4	3	49
44	5	9	39
13	45	23	44
14	28	47	18
18	13	21	40
50	21	43	23
7	13	16	12
32	21	49	43
50	28	7	8
25	29	2	5
5	40	28	30
14	34	47	17
38	30	29	33
42	41	43	28
39	8	13	29
3	41	36	43
38	8	34	32
6	25	15	34
37	48	38	8
29	23	43	9
30	45	24	38
32	4	28	1
41	24	49	49
50	39	34	28
10	19	12	17
35	46	30	32
14	46	46	28
7	33	15	21
44	14	23	19
8	29	32	34
43	20	28	16
14	28	25	26
35	8	1	4
17	19	49	48
49	9	30	9
1	29	33	49
37	26	26	37
44	2	47	26
20	50	29	47
4	32	25	34
9	19	50	30
24	42	36	45
35	4	41	11
16	37	46	26
48	26	31	40
30	20	34	28
40	50	42	8
38	38	50	17
13	30	24	41
31	31	17	2
48	3	1	21
39	17	16	11
13	7	5	42
47	6	4	22
8	29	12	42
8	5	39	2
7	33	12	14
16	15	26	9
