80	94	99	19	15	131	15
10	79	79	40	79	10	10
152	127	127	88	69	128	113
167	67	167	155	167	8	8
112	66	72	160	68	168	80
170	170	108	163	42	163	42
14	178	164	113	11	119	113
117	104	41	117	104	104	117
101	81	81	81	164	164	47
120	119	154	95	119	90	183
80	173	25	18	47	17	173
21	21	27	21	57	27	27
50	130	85	85	26	85	26
66	65	111	66	65	66	65
71	93	98	93	166	19	42
165	134	134	165	159	165	134
34	92	92	34	92	34	178
81	10	77	147	35	59	35
161	103	174	185	154	103	97
111	108	174	111	134	108	174
146	146	112	74	115	112	115
91	147	38	70	59	150	38
89	148	89	131	89	148	148
136	185	92	24	96	116	60
17	69	21	13	101	83	70
50	54	25	95	122	95	178
113	154	83	57	154	182	83
155	72	75	182	75	153	29
129	78	58	78	87	105	178
131	33	69	148	16	157	148
83	21	21	83	83	21	157
100	89	89	54	51	91	19
51	90	113	90	67	113	90
68	68	114	68	131	114	114
15	149	176	176	133	22	56
174	26	117	26	174	56	117
41	83	41	131	41	83	83
22	22	22	84	84	50	84
71	71	71	168	168	168	46
166	76	179	166	179	179	166
175	64	173	72	64	183	185
69	141	69	141	141	69	58
29	29	97	97	19	29	97
150	47	128	43	190	190	22
170	23	23	170	153	23	170
144	52	33	15	148	99	116
123	77	123	112	77	43	43
155	88	35	35	88	88	35
148	110	142	142	148	142	148
28	179	50	28	50	50	28
77	102	88	169	129	169	40
69	21	73	73	59	31	43
156	151	156	16	151	25	16
153	172	10	121	50	140	141
48	66	63	141	126	101	48
60	171	37	60	60	37	37
44	123	123	129	129	103	103
101	101	35	101	112	112	112
80	106	48	142	106	80	48
139	131	97	139	131	131	139
21	123	21	144	123	101	101
101	75	101	189	75	101	75
69	69	135	135	135	97	135
127	32	32	126	127	32	30
101	59	101	59	59	101	16
38	27	65	124	60	102	124
143	143	37	90	90	143	90
47	73	167	40	47	167	40
82	72	107	107	72	56	82
97	74	107	97	183	122	21
184	186	71	190	169	184	43
126	126	116	126	116	77	116
89	41	89	40	138	52	118
172	172	172	190	190	187	190
151	78	82	23	11	19	151
22	50	126	35	175	99	50
137	137	137	107	107	107	92
41	18	41	41	70	70	70
185	185	125	176	127	123	190
25	29	34	108	162	48	41
40	109	109	40	40	159	109
44	52	44	52	44	52	52
55	31	104	55	90	175	15
75	97	42	72	97	64	166
99	37	53	53	133	20	168
190	185	185	83	160	28	122
83	83	101	83	101	186	101
156	108	156	156	138	108	108
76	147	134	91	147	167	128
36	36	104	140	36	140	140
81	81	136	166	166	79	79
84	84	93	84	22	93	93
42	142	42	142	42	33	142
90	52	90	107	52	92	92
156	40	156	48	156	48	48
55	177	36	117	82	55	81
24	86	67	152	24	106	168
113	124	124	179	113	70	179
120	172	161	96	123	96	168
82	33	62	177	33	177	62
28	103	14	103	28	103	28
130	147	136	158	111	59	96
112	49	93	174	185	12	185
93	79	93	181	181	181	93
97	184	97	184	54	97	184
135	24	135	135	69	69	69
160	97	160	63	160	63	63
16	37	66	150	13	168	119
144	113	109	113	165	141	107
65	38	38	72	100	181	30
131	157	44	81	131	72	136
144	52	119	144	165	52	119
19	61	83	100	19	113	108
8	24	8	8	24	162	155
127	52	177	177	131	69	167
180	168	180	168	180	41	168
188	147	188	125	188	125	125
45	45	144	144	49	138	49
165	150	46	102	126	175	68
186	162	117	133	60	24	150
171	64	72	141	42	20	94
60	174	118	189	53	79	156
45	136	45	5	45	68	5
127	116	116	124	51	127	124
37	87	146	87	87	68	68
119	177	119	183	119	183	183
21	170	91	110	110	79	24
55	33	80	73	99	73	126
143	167	175	138	107	167	73
166	80	74	23	168	74	169
182	34	129	32	60	136	98
32	27	132	32	132	32	132
9	16	133	72	9	72	72
76	58	59	45	168	37	24
116	56	44	143	155	152	106
28	56	84	148	149	84	168
56	56	121	56	175	175	175
117	174	107	174	107	170	170
171	124	70	179	83	124	93
121	85	10	165	37	18	185
78	50	50	78	108	92	108
64	79	64	126	64	169	126
163	17	163	153	169	163	134
99	161	99	49	161	99	161
163	76	39	39	166	177	182
93	66	93	56	118	15	114
126	39	126	80	80	80	126
61	142	67	31	61	142	31
154	36	154	16	18	100	182
41	41	93	95	53	44	149
30	35	182	182	182	35	35
151	77	90	103	49	135	179
158	27	78	158	158	27	27
23	135	83	23	156	158	68
60	60	159	60	159	159	46
176	84	67	58	67	105	165
15	15	65	24	24	24	15
152	153	180	14	80	80	25
81	179	81	107	67	179	100
160	64	160	46	46	160	46
161	80	156	126	95	95	87
105	105	132	132	132	83	105
54	152	35	182	140	10	103
84	126	34	126	84	126	84
84	53	46	40	53	84	40
75	84	66	133	75	141	127
19	80	19	80	19	80	19
26	174	188	87	60	86	59
139	101	139	101	139	152	120
29	29	117	81	19	181	29
73	67	96	32	44	67	128
24	158	158	99	119	106	15
186	59	70	186	186	59	59
146	146	20	20	142	20	146
36	30	81	34	159	120	43
36	114	189	15	166	107	170
21	21	76	21	76	19	76
115	183	183	111	111	183	111
