40	63	46	11	62
3	87	46	72	12
33	89	78	9	85
11	31	68	96	96
58	69	88	7	7
65	87	15	98	74
21	22	33	45	45
96	16	63	78	78
7	70	61	29	29
83	71	63	21	74
1	47	24	59	49
10	35	9	23	23
57	91	1	37	90
37	21	38	30	6
32	96	5	54	34
72	7	57	55	46
76	69	1	72	10
10	47	41	64	66
77	10	74	46	54
30	13	96	7	7
78	51	11	72	3
30	31	22	12	1
87	49	51	57	86
86	70	97	72	17
63	12	31	71	71
95	66	40	10	10
68	20	35	67	88
70	50	6	85	62
29	80	17	88	39
16	69	77	3	75
90	84	1	20	96
63	57	25	9	62
92	10	18	8	8
42	43	23	4	50
29	1	70	46	67
88	69	91	34	35
58	41	5	18	20
35	90	50	70	96
56	44	29	43	2
13	29	64	14	80
50	41	78	42	36
22	43	66	25	25
27	80	89	16	39
3	88	53	92	92
59	11	55	74	56
6	55	63	96	86
8	27	53	82	82
74	80	2	38	52
57	16	74	4	20
11	27	33	39	39
73	5	72	41	43
67	1	50	54	32
54	47	84	72	72
79	40	3	67	67
23	98	43	37	37
21	61	94	88	88
85	31	62	14	5
67	52	31	9	9
76	74	15	80	40
78	1	69	91	91
96	64	98	99	30
7	96	37	98	77
36	99	74	2	92
4	69	72	65	18
98	29	57	38	38
77	53	42	20	14
43	98	27	87	81
68	35	5	76	45
8	72	67	48	48
53	96	60	17	1
25	38	36	37	11
93	68	26	38	38
98	32	5	36	28
41	31	45	23	23
90	8	94	38	38
42	1	97	82	72
41	78	64	86	2
52	85	47	24	24
20	26	6	43	72
27	40	98	62	62
29	10	6	47	47
45	3	39	89	59
73	71	28	24	24
70	5	63	44	44
42	72	67	65	15
27	52	42	6	47
2	15	73	47	47
69	91	30	89	3
90	1	16	40	40
70	98	55	46	46
14	61	55	39	56
74	75	2	84	84
56	11	33	70	70
77	41	78	39	73
81	58	78	6	38
39	28	47	58	14
68	79	25	73	85
2	33	31	44	44
24	98	49	76	76
29	25	83	9	56
18	17	77	68	99
86	75	92	61	61
25	96	97	95	95
74	24	67	7	71
87	64	63	12	37
50	64	68	46	12
15	31	23	99	99
67	50	98	3	85
43	27	44	2	55
65	92	1	59	62
54	70	2	58	32
36	31	84	88	88
7	81	40	90	73
84	38	67	8	14
54	83	57	39	39
23	1	81	84	93
16	58	59	71	57
79	14	19	4	12
33	40	36	35	12
15	55	79	80	56
32	2	82	81	55
49	48	93	11	30
53	74	2	33	66
65	70	90	37	47
81	79	52	93	13
23	85	91	93	56
76	17	3	6	32
28	90	56	74	61
81	36	76	15	15
89	61	50	94	6
37	24	72	76	67
72	47	46	32	93
18	94	48	77	77
20	40	59	37	37
42	49	28	35	35
85	37	24	83	5
4	20	29	38	35
72	46	88	92	53
5	72	87	50	62
20	12	92	50	50
68	58	61	31	31
33	42	24	70	87
13	24	69	59	88
9	14	42	20	20
77	8	65	35	70
86	4	81	83	83
39	79	70	74	74
73	66	62	84	84
82	27	18	99	33
45	26	89	44	44
53	85	16	35	45
36	95	17	87	58
68	88	27	20	20
9	93	50	29	29
86	80	12	88	62
68	21	58	29	91
81	23	84	9	9
95	9	78	47	83
34	15	23	11	11
39	5	22	18	18
83	39	56	79	4
87	26	71	70	85
2	36	70	46	74
35	88	97	30	30
43	62	77	61	24
40	49	4	68	55
70	2	72	26	22
6	35	13	59	59
78	82	39	8	63
77	67	90	66	15
95	82	65	51	4
82	63	84	53	34
9	56	13	34	92
64	2	4	35	32
82	62	92	27	27
85	13	69	50	92
74	29	58	37	9
58	91	27	47	53
78	17	5	70	65
60	20	80	62	81
73	16	24	85	85
70	34	55	39	39
36	75	61	80	6
41	47	74	30	99
89	96	38	79	7
36	52	86	75	56
52	77	25	58	72
49	47	66	58	58
5	63	47	60	22
79	88	17	90	47
68	36	84	8	86
77	84	45	1	1
50	60	38	56	12
9	72	81	46	62
13	68	51	34	74
44	31	89	96	96
52	78	58	67	67
96	91	40	7	75
38	40	41	90	90
56	60	27	34	34
51	31	86	81	2
10	14	77	36	26
9	19	98	16	16
96	51	87	97	81
17	67	49	24	24
93	15	25	89	89
2	25	50	47	47
56	5	34	35	93
95	26	70	78	71
9	43	93	50	50
49	13	47	67	63
3	7	19	34	34
11	41	28	45	43
76	47	75	87	12
71	21	62	66	56
95	81	70	69	69
55	49	1	97	92
95	56	39	79	83
87	26	56	9	9
77	11	12	99	99
68	59	2	25	56
7	48	81	78	50
89	19	52	13	81
65	95	82	19	81
62	43	68	9	49
98	61	7	46	46
79	81	83	31	68
25	40	41	47	8
22	68	23	38	76
76	88	79	15	51
1	64	88	34	34
69	41	96	85	6
21	91	63	64	82
3	13	85	15	12
61	7	96	30	30
58	94	85	14	73
20	40	1	45	52
97	49	92	63	5
24	87	73	1	79
36	85	73	84	84
85	15	10	31	17
75	16	6	59	59
75	79	26	72	63
62	53	12	60	35
62	14	21	50	86
45	71	74	1	94
81	94	30	88	88
37	31	26	6	29
74	2	24	67	61
95	9	48	82	78
83	43	61	35	29
9	6	54	73	73
90	51	86	5	5
57	68	63	44	14
45	79	84	44	78
38	45	40	27	36
63	70	7	88	86
97	87	19	61	22
29	46	68	26	1
60	91	97	81	81
11	82	39	87	93
2	80	50	44	44
17	88	35	33	33
96	27	40	50	71
87	49	52	10	23
42	22	28	62	32
51	71	49	70	14
17	44	78	48	48
78	39	86	85	15
97	1	13	90	99
66	33	31	53	53
56	5	18	58	52
80	91	66	13	43
64	19	21	48	47
62	85	93	19	77
57	77	74	49	13
55	50	37	90	29
48	59	79	80	13
59	55	21	57	48
29	27	85	40	40
13	49	19	39	57
55	44	39	98	93
72	44	88	98	4
76	20	72	68	5
68	93	90	30	88
16	57	65	46	59
75	72	78	69	69
19	95	85	79	79
86	76	87	40	75
85	48	28	97	96
36	33	86	46	46
68	24	78	3	45
53	75	3	25	25
51	81	9	63	66
9	82	65	91	26
40	48	19	44	44
13	76	53	73	94
41	83	84	22	22
25	49	55	47	47
43	87	45	79	64
39	7	34	50	41
62	94	25	61	61
93	68	17	78	78
57	63	97	27	27
80	5	55	58	58
80	95	40	24	92
72	43	3	66	66
20	42	15	46	1
1	25	38	17	39
28	71	95	22	22
64	39	82	62	62
22	4	98	66	54
41	50	36	49	49
66	98	42	69	69
79	87	80	29	7
24	79	11	85	85
21	65	63	19	28
50	76	78	95	46
61	24	67	75	70
95	21	53	30	90
77	72	51	73	21
36	90	63	83	1
70	52	43	58	58
54	67	34	50	2
53	74	96	88	51
39	52	87	28	89
92	43	84	8	73
16	22	45	38	27
21	59	47	72	72
36	97	69	93	2
24	9	26	87	87
66	99	89	75	69
4	62	61	49	82
24	50	56	63	81
25	61	36	54	54
51	49	26	33	33
50	69	62	52	52
75	35	15	55	64
41	50	27	45	45
2	32	66	88	82
10	14	34	98	98
78	89	81	23	2
48	88	97	11	43
81	76	70	8	8
86	94	73	50	50
14	92	75	85	83
77	26	67	80	86
41	73	42	71	4
85	68	89	9	43
77	1	12	22	97
30	22	25	27	27
4	72	15	73	67
83	20	21	84	84
61	34	87	80	80
51	34	69	92	47
76	58	21	64	72
98	27	30	90	67
89	15	10	99	60
15	98	74	75	19
24	79	2	67	71
27	74	1	73	50
41	11	81	73	73
36	2	52	58	71
33	65	38	74	61
21	3	98	49	19
16	46	83	66	97
66	90	17	79	69
66	61	12	62	33
9	2	95	37	37
43	42	90	97	84
63	59	58	30	20
37	68	9	73	59
94	43	25	18	79
75	79	5	43	50
55	41	48	65	7
65	72	85	67	49
86	62	60	90	90
57	66	54	90	90
30	78	12	50	50
11	98	57	96	65
47	13	49	42	2
2	64	59	35	38
61	90	63	95	12
43	18	55	58	60
12	39	75	74	61
69	95	74	16	64
92	98	66	17	72
91	76	82	50	50
34	39	33	69	25
66	1	37	90	79
73	29	72	74	94
41	21	97	44	44
94	3	18	77	77
68	48	9	2	13
48	11	47	41	57
79	19	27	83	5
41	8	87	36	36
35	8	60	85	54
50	43	38	21	21
39	55	10	11	11
39	52	16	87	64
