27,042666	12,7738737	G3V
26,2796988	12,3652773	G1VII
14,5976298	18,8575643	N5VII
26,4776502	12,0021392	Z3V
26,3058904	12,0103681	G2IV
13,4909181	27,4674704	Y7IV
26,2299729	13,0970705	L1III
26,1794677	11,3099428	S3IV
26,8050613	12,0261526	G7I
15,0102818	25,0225786	G7III
25,4112619	10,9975186	L7IV
26,9698209	12,572428	Z4I
26,6573339	11,6620537	N5V
27,6407115	12,1240718	Y8II
25,4158094	10,8232407	Y7VII
27,337301	12,8132236	Z7III
26,2716893	11,9566082	Z7II
13,5705869	27,5788447	N1V
26,4722025	12,7289778	Y4VI
27,2618616	12,8067082	G6V
28,0837469	13,4634756	Z2II
14,305313	26,4319692	J6III
13,9823808	26,4800432	J5III
12,2411969	27,2020417	Z4VI
27,4979868	12,1297523	L5VI
26,0451588	13,2063999	Y9I
25,5055615	12,659802	L1VI
26,5771147	13,1433183	L2VII
25,3362828	12,1167936	S2II
14,1015063	24,8502869	J8V
26,4102188	12,263554	S7IV
26,0669083	13,3338828	Y7VI
16,1105471	19,3836342	J2VII
17,5873316	19,0372206	Z3III
16,8917082	18,2848679	L9VI
26,1007994	11,7603891	S4VII
27,1760859	12,2269295	G9VII
14,1499489	26,6786712	G9VI
16,3191196	18,8381046	J4IV
28,2220699	12,877005	Z3VII
14,3766682	25,8025974	Y1I
13,2748263	26,3093975	L4I
15,7733463	18,630626	S9VII
26,3772218	14,0234552	J5IV
26,0609103	11,9897165	Y9I
24,9368295	12,4160261	Y5IV
15,1111345	18,2689924	Y9VI
28,3774478	12,8464679	Z3I
13,5751382	26,8863781	G5VII
26,6206104	11,542937	Y2III
26,0698193	12,0241176	Z2VI
24,5903732	13,096762	G2V
26,4815612	11,7606857	L1II
25,2123703	11,6860133	L6V
26,1343501	13,3438339	S7II
27,5951385	12,2530359	S4I
26,2607882	12,0667566	S2II
26,875811	12,1044306	N1VI
27,7567201	12,2531727	N7VI
26,5185466	12,7600098	G4V
25,7470568	12,6829015	Z3VI
27,5586696	13,0125753	L7VI
15,2872075	18,9029603	Y7IV
26,7165465	12,3575598	N8III
26,336006	12,8001235	S3VI
26,4370688	12,1787309	S9V
27,761086	12,4012397	Z2II
28,0116171	13,0738916	J8II
26,9288857	12,3251596	J2IV
26,7982053	12,5764992	Z3II
25,5516454	13,1552692	S4VII
24,6796491	12,6466519	S7III
26,3951729	12,1634698	N9IV
26,2656393	11,6723641	S4V
26,8107714	12,9999997	S9IV
25,1443258	12,016535	N3VII
26,3503469	13,0582209	G4VII
24,6981676	11,2165559	Z9VII
27,2056858	12,0504134	L2VII
27,4306109	13,2833419	Y6III
26,9560807	13,6783239	G1I
26,256509	11,9299544	N6VII
25,7091286	12,5466355	S7I
25,9763596	11,9952672	Y1I
24,7991167	11,6653266	N8II
26,8521669	11,5498065	L2III
26,102236	12,708344	L3V
27,245597	12,3828268	Z5V
26,7808505	12,4362137	L7VI
25,5591285	12,1149794	L6III
16,2650553	17,9137938	L7VII
26,8136687	12,0957102	L4II
26,8589689	13,6981657	Z3VII
27,3299429	13,6810737	G5I
26,330137	12,1125111	L2VI
27,4338906	12,4029101	Z9VII
28,2233669	12,5403435	L3IV
26,9987568	13,1113462	Y5III
16,2601006	19,0302015	L7I
14,3850993	27,2409727	Z8VII
